level,traditional,pinyin,pos
2,房(子),fáng(zi),N
2,房間,fángjiān,N
2,樓,lóu,M
2,門,mén,N
2,門口,ménkŏu,N
2,桌(子),zhuō(zi),N
2,椅(子),yĭ(zi),N
2,床,chuáng,N
2,開,kāi,V
2,低,dī,Vs
2,不錯,bùcuò,Vs
2,天氣,tiānqì,N
2,空氣,kōngqì,N
2,冷,lěng,Vs
2,熱,rè,Vs
2,雨,yŭ,N
2,下雨,xiàyŭ,V-sep
2,風,fēng,N
2,山,shān,N
2,花/花兒,huā/huār,N
2,枝,zhī,M
2,魚,yú,N
2,雞,jī,N
2,牛,niú,N
2,豬,zhū,N
2,咖啡,kāfēi,N
2,茶,chá,N
2,用,yòng,V
2,穿,chuān,V
2,起床,qĭchuáng,Vp
2,方便,fāngbiàn,Vs
2,睡覺,shuìjiào,V-sep
2,起來,qĭlái,Vp
2,先,xiān,Adv
2,常常/常,chángcháng/cháng,Adv
2,每,měi,Det
2,打,dă,V
2,玩,wán,V
2,運動,yùndòng,Vi / N
2,走路,zŏulù,V-sep
2,唱歌,chànggē,V-sep
2,跳,tiào,Vi
2,還,hái,Adv
2,唱,chàng,V
2,歌,gē,N
2,跳舞,tiàowŭ,V-sep
2,又,yòu,Adv
2,球,qiú,N
2,介紹,jièshào,V
2,沒關係(˙ㄒㄧ),méiguānxi,Vs
2,事/事兒,shì/shìr,N
2,怎麼,zěnme,Adv
2,哪,nă,Det
2,裡面/裏面,lĭmiàn,N
2,上(面),shàng(miàn),N
2,下(面),xià(miàn),N
2,外(面),wài(miàn),N
2,外頭(˙ㄊㄡ),wàitou,N
2,前(面),qián(miàn),N
2,後(面),hòu(miàn),N
2,左(邊),zuŏ(biān),N
2,右(邊),yòu(biān),N
2,旁(邊),páng(biān),N
2,裡/裏,lĭ,N
2,中,zhōng,N
2,地方,dìfāng,N
2,附近,fùjìn,N
2,帶,dài,V
2,拿,ná,V
2,站,zhàn,Vi
2,快,kuài,Vs
2,慢,màn,Vs
2,計程車,jìchéngchē,N
2,火車,huŏchē,N
2,飛機,fēijī,N
2,輛,liàng,M
2,出,chū,V
2,進,jìn,V
2,外國,wàiguó,N
2,手,shŏu,N
2,腳,jiăo,N
2,身體,shēntĭ,N
2,眼睛,yănjīng,N
2,鼻(子),bí(zi),N
2,藥,yào,N
2,累,lèi,Vs
2,頭,tóu,N
2,耳朵,ěrduo,N
2,感冒,gănmào,Vp
2,生病,shēngbìng,Vp-sep
2,餓,è,Vs
2,痛,tòng,Vs
2,嘴巴/嘴,zuĭba/zuĭ,N
2,病,bìng,N
2,看病,kànbìng,V-sep
2,元,yuán,M
2,鞋(子),xié(zi),N
2,衣服/衣,yīfú/yī,N
2,比,bĭ,Prep
2,要,yào,V / Vaux
2,長,cháng,Vs
2,新,xīn,Vs
2,一樣,yīyàng,Vs
2,見,jiàn,Vpt
2,看見,kànjiɑn,V
2,聽見,tīngjiàn,Vpt
2,店,diàn,N
2,短,duăn,Vs
2,飽,băo,Vs
2,舊,jiù,Vs
2,像,xiàng,Vst
2,一共/共,yīgòng /gòng,Adv
2,夠,gòu,Vs-pred
2,筷(子),kuài(zi),N
2,件,jiàn,M
2,杯,bēi,M
2,杯(子),bēi(zi),N
2,菜,cài,N
2,肉,ròu,N
2,酒,jiŭ,N
2,喝,hē,V
2,少,shăo,Vs-pred
2,多,duō,Vs-pred / Adv
2,小吃,xiăochī,N
2,牛奶,niúnăi,N
2,蛋,dàn,N
2,餃(子),jiăo(zi),N
2,麵,miàn,N
2,湯,tāng,N
2,包子,bāozi,N
2,蛋糕,dàngāo,N
2,麵包,miànbāo,N
2,水果,shuĭguŏ,N
2,香蕉,xiāngjiāo,N
2,食物,shíwù,N
2,飲料,yĭnliào,N
2,果汁,guŏzhī,N
2,甜,tián,Vs
2,菜單,càidān,N
2,巧克力,qiăokèlì,N
2,碗,wăn,N / M
2,冰,bīng,N
2,一起,yīqĭ,Adv
2,因為,yīnwèi,Conj
2,和,hé,Conj
2,所以,suŏyĭ,Conj
2,跟,gēn,Conj
2,一定,yīdìng,Adv
2,可能,kěnéng,Vaux
2,邊/邊兒,biān/biānr,N
2,別,bié,Adv
2,馬上,măshàng,Adv
2,然後,ránhòu,Adv
2,得,děi,Vpt
2,著,zhe,Ptc
2,有點/有一點/有一點兒,yŏudiăn/yŏuyīdiăn/yŏuyīdiănr,Adv
3,零,líng,N
3,爺爺,yéye,N
3,奶奶,năinai,N
3,家庭,jiātíng,N
3,別人,biérén,N
3,大人,dàrén,N
3,老人,lăorén,N
3,年輕,niánqīng,Vs
3,男生,nánshēng,N
3,女生,nǚshēng,N
3,號碼,hàomă,N
3,在,zài,Adv
3,哪,na,Ptc
3,地址,dìzhĭ,N
3,市,shì,N
3,名,míng,M
3,城市/城,chéngshì/chéng,N
3,街,jiē,N
3,電子郵件,diàn​zĭ​yóu​jiàn,N
3,禮拜,lĭbài,N
3,從前,cóngqián,N
3,剛剛/剛,gānggāng/gāng,Adv
3,一會兒/一會,yīhuĭr/yīhuĭ,N
3,結婚,jiéhūn,Vp-sep
3,春天/春,chūntiān/chūn,N
3,夏天/夏,xiàtiān/xià,N
3,秋天/秋,qiūtiān/qiū,N
3,冬天/冬,dōngtiān/dōng,N
3,笑,xiào,Vi
3,哭,kū,Vi
3,高興,gāoxìng,Vs
3,緊張,jĭnzhāng,Vs
3,可愛,kěài,Vs
3,生氣,shēngqì,Vs-sep
3,難過,nánguò,Vs
3,聰明,cōngmíng,Vs
3,相信,xiāngxìn,Vst
3,經驗,jīngyàn,N
3,辛苦,xīnkŭ,Vs
3,願意,yuànyì,Vaux
